,gene,best_fit
2909,Icam2,other
2910,Ick,other
2914,Id2,other
2915,Id4,other
2919,Ids,other
2922,Ier5l,other
2926,Ifi27,other
2938,Ifnar2,other
2943,Ift74,other
2954,Igj,other
2955,Igk-V5,other
2957,Igsf11,other
2959,Igsf6,other
2964,Ik,other
2965,Ikbkap,other
2972,Il13ra1,other
2973,Il13ra2,other
2974,Il15,other
2979,Il17rc,other
2989,Il2rb,other
2995,Il5ra,other
2997,Il6st,other
3006,Ina,other
3007,Inadl,other
3011,Inhba,other
3012,Inmt,other
3018,Inpp5f,other
3020,Inppl1,other
3021,Insig1,other
3027,Ints3,other
3032,Ipo5,other
3034,Iqgap2,other
3050,Irs2,other
3052,Isl1,other
3053,Isoc1,other
3054,Isoc2a,other
3057,Itfg3,other
3072,Itih5,other
3083,Ivd,other
3105,Kbtbd4,other
3113,Kcnd2,other
3119,Kcnip1,other
3122,Kcnk13,other
3125,Kcnk6,other
3130,Kctd10,other
3131,Kctd12,other
3144,Khsrp,other
3149,Kif1c,other
3155,Kif3a,other
3156,Kif3c,other
3179,Klhl23,other
3181,Klhl25,other
3184,Klhl32,other
3185,Klhl5,other
3210,Kpna2,other
3215,Krt10,other
3240,LOC100040085,other
3242,LOC100040353,other
3246,LOC100040736,other
3247,LOC100040799,other
3251,LOC100041516,other
3253,LOC100041569,other
3254,LOC100041576,other
3257,LOC100041864,other
3275,LOC100043836,other
3278,LOC100043969,other
3282,LOC100044122,other
3291,LOC100044275,other
3292,LOC100044294,other
3304,LOC100044696,other
3313,LOC100044968,other
3319,LOC100045312,other
3321,LOC100045343,other
3322,LOC100045359,other
3323,LOC100045403,other
3326,LOC100045522,other
3330,LOC100045607,other
3343,LOC100045887,other
3351,LOC100046056,other
3365,LOC100046500,other
3367,LOC100046546,other
3368,LOC100046552,other
3374,LOC100046793,other
3378,LOC100046844,other
3382,LOC100046905,other
3388,LOC100047009,other
3390,LOC100047053,other
3402,LOC100047316,other
3416,LOC100047693,other
3418,LOC100047712,other
3421,LOC100047759,other
3425,LOC100047810,other
3431,LOC100047905,other
3436,LOC100047963,other
3437,LOC100047998,other
3438,LOC100048037,other
3442,LOC100048251,other
3446,LOC100048331,other
3449,LOC100048446,other
3456,LOC100048556,other
3458,LOC100048622,other
3460,LOC100048696,other
3461,LOC100048710,other
3466,LOC100048845,other
3468,LOC207685,other
3472,LOC243431,other
3474,LOC245219,other
3482,LOC432730,other
3486,LOC433886,other
3498,LOC545289,other
3504,LOC619597,other
3511,LOC623006,other
3515,LOC623568,other
3522,LOC626583,other
3528,LOC630337,other
3530,LOC630527,other
3533,LOC631037,other
3537,LOC633568,other
3543,LOC636696,other
3544,LOC636752,other
3545,LOC636875,other
3546,LOC636944,other
3551,LOC637260,other
3553,LOC637785,other
3560,LOC641178,other
3568,LOC666025,other
3570,LOC666559,other
3571,LOC666652,other
3572,LOC666661,other
3576,LOC667582,other
3579,LOC668387,other
3582,LOC668706,other
3589,LOC672339,other
3590,LOC672342,other
3591,LOC673286,other
3592,LOC673501,other
3593,LOC674050,other
3607,LOC676222,other
3609,LOC676420,other
3612,LOC676709,other
3614,LOC677144,other
3617,LOC677643,other
3618,LOC677648,other
3626,Laptm5,other
3630,Larp5,other
3637,Lats1,other
3643,Lcor,other
3650,Lefty1,other
3651,Leng1,other
3654,Leprel1,other
3665,Lhfpl2,other
3672,Limk1,other
3688,Lmo2,other
3690,Lmo7,other
3692,Lmtk2,other
3712,Lrp6,other
3713,Lrp8,other
3715,Lrpprc,other
3716,Lrrc1,other
3719,Lrrc29,other
3722,Lrrc49,other
3728,Lrrc8c,other
3733,Lsm14a,other
3741,Lta,other
3756,Ly6g6c,other
3759,Lyl1,other
3768,Lyz,other
3771,Lyzs,other
3774,M6prbp1,other
3776,Macrod1,other
3783,Maff,other
3784,Mafk,other
3812,Map2k6,other
3815,Map3k14,other
3827,Mapk6,other
3829,Mapk8ip2,other
3832,Mapkapk3,other
3835,Mapt,other
3841,Mars2,other
3844,Mat2a,other
3847,Matn2,other
3855,Mboat2,other
3860,Mcf2l,other
3869,Mcoln1,other
3875,Mdga2,other
3882,Med18,other
3884,Med21,other
3887,Med27,other
3897,Megf9,other
3905,Mertk,other
3906,Mesdc1,other
3907,Mest,other
3909,Metapl1,other
3913,Mettl7a2,other
3914,Mettl7b,other
3917,Mfap1b,other
3921,Mfge8,other
3923,Mfng,other
3924,Mfsd10,other
3927,Mfsd7a,other
3930,Mgat3,other
3931,Mgat4a,other
3938,Mgst3,other
3940,Mia3,other
3941,Mical1,other
3953,Mki67ip,other
3954,Mkks,other
3958,Mks1,other
3963,Mllt1,other
3964,Mllt3,other
3965,Mllt4,other
3968,Mlxipl,other
3969,Mlycd,other
3972,Mmp10,other
3975,Mmp13,other
3987,Mobkl2b,other
3990,Mocs1,other
3992,Morc2a,other
3998,Mpdz,other
3999,Mpeg1,other
4001,Mphosph6,other
4002,Mpi,other
4008,Mrpl10,other
4019,Mrpl46,other
4031,Mrps34,other
4032,Mrps35,other
4034,Mrps6,other
4037,Mrrf,other
4039,Mrto4,other
4047,Msc,other
4054,Mt2,other
4055,Mt3,other
4058,Mtap1b,other
4060,Mtap7d1,other
4068,Mtg1,other
4071,Mtmr11,other
4072,Mtmr14,other
4076,Mtss1,other
4080,Muc3,other
4097,Myl6,other
4102,Myo18b,other
4103,Myo1b,other
4116,N6amt1,other
4121,Naga,other
4123,Nagpa,other
4124,Naip5,other
4127,Nap1l5,other
4129,Napepld,other
4131,Narf,other
4137,Nat5,other
4140,Nbl1,other
4152,Nckipsd,other
4155,Ncor1,other
4161,Ndfip2,other
4164,Ndrg3,other
4175,Ndufb7,other
4179,Ndufv1,other
4181,Nedd1,other
4187,Nek1,other
4198,Nfatc2ip,other
4203,Nfic,other
4211,Nfyc,other
4214,Nhlrc1,other
4226,Nkain2,other
4234,Nlrp9b,other
4236,Nlrx1,other
4239,Nme4,other
4246,Nod1,other
4247,Nod2,other
