,gene,bimodal,expo,gamma,longtail,other,winner
5330,Gypc,,4.0,1.0,1.0,3.0,expo
5331,Gys1,,1.0,3.0,,4.0,other
5332,Gzf1,2.0,1.0,3.0,,1.0,gamma
5333,Gzma,,,,,1.0,other
5334,Gzmb,,2.0,,,1.0,expo
5335,Gzmc,,1.0,,,,expo
5336,Gzmd,,,1.0,,,gamma
5337,Gzme,,,1.0,,,gamma
5338,Gzmf,,,1.0,,,gamma
5339,Gzmg,,,1.0,,,gamma
5340,Gzmk,,2.0,,,1.0,expo
5341,Gzmm,,,3.0,,,gamma
5342,H13,,2.0,5.0,,2.0,gamma
5343,H19,,,1.0,,,gamma
5344,H1f0,,1.0,7.0,,2.0,gamma
5345,H1f10,,,1.0,,,gamma
5346,H1f2,,2.0,1.0,,1.0,expo
5347,H1f3,,2.0,,,1.0,expo
5348,H1f8,,,1.0,,,gamma
5349,H1fx,,3.0,4.0,,1.0,gamma
5350,H2-Aa,,6.0,2.0,,,expo
5351,H2-D1,,4.0,2.0,,,expo
5352,H2-D1 ,,1.0,2.0,,,gamma
5353,H2-D4,,,1.0,,,gamma
5354,H2-DMa,,3.0,6.0,,2.0,gamma
5355,H2-DMb1 ,,2.0,,,,expo
5356,H2-DMb2,,4.0,3.0,,1.0,expo
5357,H2-Ea,,5.0,,,,expo
5358,H2-Eb1,,7.0,2.0,,,expo
5359,H2-Eb2,,,1.0,,,gamma
5360,H2-K1,,3.0,7.0,,1.0,gamma
5361,H2-Ke6,,,3.0,,1.0,gamma
5362,H2-M2,,3.0,1.0,1.0,,expo
5363,H2-M3,,,7.0,,,gamma
5364,H2-Oa,,1.0,2.0,,3.0,other
5365,H2-Ob,1.0,1.0,2.0,,,gamma
5366,H2-Q10,,1.0,,,2.0,other
5367,H2-Q2,,,2.0,,,gamma
5368,H2-Q4,,2.0,,,,expo
5369,H2-Q5,,5.0,,,,expo
5370,H2-Q6,,6.0,1.0,,,expo
5371,H2-Q7,,3.0,,,,expo
5372,H2-Q8,,,1.0,,,gamma
5373,H2-T10,,3.0,4.0,,,gamma
5374,H2-T24,,2.0,2.0,,4.0,other
5375,H28,,,3.0,,,gamma
5376,H2ac10,,,,,1.0,other
5377,H2af-ps2,,,1.0,,,gamma
5378,H2afj,1.0,3.0,1.0,,1.0,expo
5379,H2afv,,,1.0,,,gamma
5380,H2afx,,6.0,1.0,,,expo
5381,H2afz,,1.0,4.0,,2.0,gamma
5382,H2bc1,,,,,1.0,other
5383,H2bc11,,,1.0,,,gamma
5384,H2bc21,,1.0,,,,expo
5385,H2bc22,,1.0,,,,expo
5386,H2bc4,,,1.0,,,gamma
5387,H2bc7,,1.0,,,,expo
5388,H3f3a,,3.0,2.0,2.0,,expo
5389,H3f3aos,,1.0,,,,expo
5390,H3f3b,,4.0,,,,expo
5391,H47,,,,1.0,4.0,other
5392,H4c14,,1.0,,,,expo
5393,H60b,,2.0,3.0,,,gamma
5394,H6pd,1.0,2.0,,,1.0,expo
5395,Haao,,,2.0,,3.0,other
5396,Habp2,1.0,,,,,bimodal
5397,Hacd3,,,,,1.0,other
5398,Hacd4,,,1.0,,,gamma
5399,Hace1,,3.0,1.0,1.0,5.0,other
5400,Hacl1,,2.0,,,5.0,other
5401,Hadh,,1.0,2.0,,,gamma
5402,Hadhb,,1.0,,,,expo
5403,Hagh,,2.0,1.0,,,expo
5404,Hal,,,,4.0,,longtail
5405,Hamp2,,,1.0,,,gamma
5406,Hao1,,,1.0,,,gamma
5407,Hao3,,,1.0,,,gamma
5408,Hap1,,1.0,2.0,,3.0,other
5409,Hapln4,,,2.0,,,gamma
5410,Hars,,2.0,1.0,,,expo
5411,Hars2,1.0,3.0,,,2.0,expo
5412,Has2,,,1.0,,,gamma
5413,Hat1,,2.0,1.0,,,expo
5414,Haus3,,2.0,1.0,,,expo
5415,Haus4,,,2.0,,1.0,gamma
5416,Haus5,,,2.0,,,gamma
5417,Haus8,,,2.0,,1.0,gamma
5418,Havcr2,,,1.0,,,gamma
5419,Hax1,,3.0,,,,expo
5420,Hba-a1,,1.0,4.0,,1.0,gamma
5421,Hba-a1 ,,,2.0,,,gamma
5422,Hba-a2,,,1.0,,,gamma
5423,Hba-ps4,,,1.0,,,gamma
5424,Hbb-b1,,3.0,4.0,,1.0,gamma
5425,Hbb-b2,,4.0,,,,expo
5426,Hbb-bs,,,1.0,,,gamma
5427,Hbb-bt,,,1.0,,,gamma
5428,Hbegf,2.0,4.0,2.0,1.0,1.0,expo
5429,Hbp1,1.0,,3.0,2.0,,gamma
5430,Hbs1l,,1.0,1.0,,6.0,other
5431,Hc,,1.0,3.0,,2.0,gamma
5432,Hccs,,,3.0,,,gamma
5433,Hcfc1,1.0,2.0,,,3.0,other
5434,Hcfc2,,,3.0,,4.0,other
5435,Hcls1,,1.0,2.0,,1.0,gamma
5436,Hcn2,,3.0,1.0,,,expo
5437,Hcrtr1,,1.0,,,,expo
5438,Hdac11,,,1.0,,,gamma
5439,Hdac2,1.0,3.0,1.0,,1.0,expo
5440,Hdac3,,3.0,4.0,1.0,2.0,gamma
5441,Hdac4,,1.0,,,,expo
5442,Hdac5,,,1.0,,,gamma
5443,Hdac7,,2.0,2.0,,3.0,other
5444,Hdac8,,1.0,,,,expo
5445,Hdc,,1.0,2.0,,,gamma
5446,Hddc2,,,2.0,,1.0,gamma
5447,Hdgf,,,2.0,,1.0,gamma
5448,Hdgfrp3,,,2.0,,1.0,gamma
5449,Hdhd3,,3.0,2.0,,,expo
5450,Hdhd5,,2.0,1.0,,,expo
5451,Hdnr,,,1.0,,,gamma
5452,Heatr1,,1.0,3.0,,1.0,gamma
5453,Heatr3,,1.0,2.0,1.0,,gamma
5454,Heatr5a,,4.0,3.0,1.0,,expo
5455,Heatr5b,,1.0,,1.0,2.0,other
5456,Heatr6,,,,,1.0,other
5457,Heatr9,,2.0,1.0,,,expo
5458,Hebp1,,1.0,2.0,,,gamma
5459,Hectd1,,2.0,3.0,,,gamma
5460,Hectd2,,,,,2.0,other
5461,Hectd3,,,2.0,,1.0,gamma
5462,Hectd4,,1.0,2.0,,,gamma
5463,Hecw2,,1.0,,,,expo
5464,Helb,,,2.0,,3.0,other
5465,Hells,,,2.0,,,gamma
5466,Helq,,,,,2.0,other
5467,Helz,1.0,2.0,1.0,,,expo
5468,Helz2,,,4.0,,,gamma
5469,Hemgn,,1.0,1.0,,2.0,other
5470,Hemk1,,2.0,3.0,2.0,,gamma
5471,Heph,,,2.0,,,gamma
5472,Hephl1,,,,,1.0,other
5473,Herc1,,2.0,3.0,1.0,,gamma
5474,Herc2,,2.0,1.0,6.0,1.0,longtail
5475,Herc4,,1.0,2.0,,1.0,gamma
5476,Herc6,,3.0,1.0,,,expo
5477,Herpud1,,1.0,,,,expo
5478,Hes5,,,,,4.0,other
5479,Hes6,1.0,3.0,,2.0,1.0,expo
5480,Hes7,,1.0,2.0,,1.0,gamma
5481,Hesx1,,,2.0,,,gamma
5482,Hexa,,,,3.0,,longtail
5483,Hexb,,,2.0,,3.0,other
5484,Hexim1,,2.0,6.0,1.0,2.0,gamma
5485,Hexim2,,3.0,4.0,,1.0,gamma
5486,Hey1,,3.0,2.0,,1.0,expo
5487,Hfe,,2.0,,,,expo
5488,Hgf,,,2.0,,,gamma
5489,Hgfac,,1.0,1.0,,2.0,other
5490,Hgsnat,,2.0,1.0,,,expo
5491,Hhat,,,,1.0,,longtail
5492,Hhatl,,,1.0,,,gamma
5493,Hhex,,,,,2.0,other
5494,Hhip,,1.0,,,,expo
5495,Hiat1,,1.0,2.0,,,gamma
5496,Hibadh,,3.0,,,2.0,expo
5497,Hibch,,1.0,3.0,,,gamma
5498,Hic1,1.0,1.0,2.0,,1.0,gamma
5499,Hid1,,2.0,1.0,,1.0,expo
5500,Hif1a,,4.0,6.0,3.0,2.0,gamma
5501,Hif1an,,,,1.0,,longtail
5502,Hif3a,,,2.0,,3.0,other
5503,Higd1a,,7.0,2.0,1.0,2.0,expo
5504,Hint1,1.0,4.0,5.0,,1.0,gamma
5505,Hint2,,1.0,2.0,,1.0,gamma
5506,Hint3,,3.0,1.0,,6.0,other
5507,Hip1r,,,2.0,,3.0,other
5508,Hipk2,,,4.0,,3.0,gamma
5509,Hipk3,,4.0,2.0,,,expo
5510,Hira,,4.0,,,2.0,expo
5511,Hisppd2a,,,,,1.0,other
5512,Hist1h1a,,,3.0,,1.0,gamma
5513,Hist1h1b,,,5.0,,,gamma
5514,Hist1h1c,,,3.0,,,gamma
5515,Hist1h1d,,1.0,,,,expo
5516,Hist1h2ab,1.0,1.0,5.0,,,gamma
5517,Hist1h2ad,1.0,,1.0,,4.0,other
5518,Hist1h2ae,,,1.0,,,gamma
5519,Hist1h2af,,,1.0,,4.0,other
5520,Hist1h2ag,,,5.0,,,gamma
5521,Hist1h2ah,,,,,4.0,other
5522,Hist1h2ai,,,1.0,,4.0,other
5523,Hist1h2ak,,,,,4.0,other
5524,Hist1h2an,,,1.0,,4.0,other
5525,Hist1h2ao,1.0,,,,3.0,other
5526,Hist1h2bc,,1.0,2.0,,,gamma
5527,Hist1h2be,,,1.0,,,gamma
5528,Hist1h2bf,,,1.0,,,gamma
5529,Hist1h2bg,,,1.0,,,gamma
5530,Hist1h2bh,,,1.0,,,gamma
5531,Hist1h2bj,,,1.0,,,gamma
5532,Hist1h2bk,,,,,1.0,other
5533,Hist1h2bm,,,1.0,,,gamma
5534,Hist1h2bn,,,1.0,,,gamma
5535,Hist1h3a ,,,2.0,,,gamma
5536,Hist1h3c,,,1.0,,,gamma
5537,Hist1h4a ,,,1.0,,2.0,other
5538,Hist1h4h,,,,,1.0,other
5539,Hist2h2aa2,,1.0,2.0,,,gamma
5540,Hist2h2ab,,1.0,4.0,,,gamma
5541,Hist2h2ac,,,,,4.0,other
5542,Hist2h2bb,,1.0,,,,expo
5543,Hist2h2be,,,1.0,,,gamma
5544,Hist2h3b,,1.0,,,,expo
5545,Hist2h3c1,,1.0,3.0,,1.0,gamma
5546,Hist2h4,,1.0,,1.0,2.0,other
5547,Hist3h2bb,,,4.0,,,gamma
5548,Hivep1,1.0,,3.0,,1.0,gamma
5549,Hivep2,,1.0,1.0,,2.0,other
5550,Hjv,,,1.0,,,gamma
5551,Hk1,,2.0,1.0,,6.0,other
5552,Hk2,,2.0,1.0,,,expo
5553,Hk3,1.0,1.0,1.0,1.0,2.0,other
5554,Hlf,,2.0,,,,expo
5555,Hltf,,,3.0,1.0,,gamma
5556,Hlx,,,2.0,,3.0,other
5557,Hmbox1,1.0,4.0,,1.0,,expo
5558,Hmbs,,,4.0,,2.0,gamma
5559,Hmces,,1.0,3.0,,1.0,gamma
5560,Hmcn1,,,2.0,,,gamma
5561,Hmcn2,,1.0,,,,expo
5562,Hmg20a,,3.0,1.0,,,expo
5563,Hmga1,,1.0,4.0,,,gamma
5564,Hmga1b,,,1.0,,,gamma
5565,Hmga2,,1.0,,,,expo
5566,Hmgb2,,,4.0,,3.0,gamma
5567,Hmgb3,,2.0,,,,expo
5568,Hmgcl,,,2.0,,6.0,other
5569,Hmgcs1,,2.0,3.0,1.0,,gamma
5570,Hmgcs2,,,1.0,,,gamma
5571,Hmgn1,,5.0,4.0,,2.0,expo
5572,Hmgn2,,,,,4.0,other
5573,Hmgn3,,6.0,5.0,1.0,,expo
5574,Hmgn5,,,2.0,,,gamma
5575,Hmgxb3,,,2.0,,,gamma
5576,Hmgxb4,,,,,1.0,other
5577,Hmha1,,,3.0,,,gamma
5578,Hmmr,,,2.0,,3.0,other
5579,Hmox1,,2.0,,,,expo
5580,Hmox2,,,,,4.0,other
5581,Hmx1,,1.0,,,,expo
5582,Hmx2,,,1.0,,,gamma
5583,Hn1,,4.0,2.0,1.0,,expo
5584,Hnf4a,,1.0,,,,expo
5585,Hnrnpa2b1,,1.0,2.0,,1.0,gamma
5586,Hnrnpab,,4.0,2.0,,,expo
5587,Hnrnpc,,2.0,1.0,1.0,,expo
5588,Hnrnpf,1.0,3.0,1.0,,1.0,expo
5589,Hnrnph1,,,1.0,,2.0,other
5590,Hnrnph3,,,2.0,,1.0,gamma
5591,Hnrnpk,,2.0,3.0,,2.0,gamma
5592,Hnrnpl,,,,,1.0,other
5593,Hnrnpll,,1.0,2.0,,,gamma
5594,Hnrnpul2,,1.0,,,2.0,other
5595,Hnrpa0,,,,1.0,,longtail
5596,Hnrpa1,,,1.0,,,gamma
5597,Hnrpa3,,,1.0,,,gamma
5598,Hnrpdl,,,1.0,,4.0,other
5599,Hnrpk,,1.0,,,,expo
5600,Hnrpm,,,3.0,,4.0,other
5601,Hnrpul1,,,2.0,,3.0,other
5602,Hoatz,,,1.0,,,gamma
5603,Hoga1,,,1.0,,,gamma
5604,Homer1,,3.0,2.0,2.0,,expo
5605,Homer2,,1.0,,,,expo
5606,Homer3,,,1.0,,,gamma
5607,Homez,,1.0,,,,expo
5608,Hook1,,2.0,2.0,,3.0,other
5609,Hook3,,,1.0,,2.0,other
5610,Hopx,,6.0,2.0,,4.0,expo
5611,Hoxa1,,1.0,,,,expo
5612,Hoxa2,,,1.0,,,gamma
5613,Hoxa7,,4.0,1.0,,1.0,expo
5614,Hoxa9,,,1.0,,,gamma
5615,Hoxb3,,,1.0,,,gamma
5616,Hoxb5,,,1.0,,,gamma
5617,Hoxb7,,,1.0,,,gamma
5618,Hoxb9,,,,,1.0,other
5619,Hoxc6,,1.0,,,,expo
5620,Hoxc9,,,,,1.0,other
5621,Hoxd10,,1.0,,,,expo
5622,Hoxd11,,,,,2.0,other
5623,Hoxd13,,,1.0,,,gamma
5624,Hoxd4,,1.0,,,,expo
5625,Hoxd8,,,1.0,,,gamma
5626,Hoxd9,,1.0,2.0,,1.0,gamma
5627,Hp1bp3,,3.0,4.0,,,gamma
5628,Hpcal4,,,1.0,,,gamma
5629,Hpd,,1.0,,,,expo
5630,Hpgd,,,3.0,,1.0,gamma
5631,Hprt,,2.0,,1.0,,expo
5632,Hprt1,,4.0,,2.0,,expo
5633,Hps1,1.0,,1.0,,3.0,other
5634,Hps3,,3.0,,4.0,1.0,longtail
5635,Hps4,,,2.0,,,gamma
5636,Hps5,,,1.0,,4.0,other
5637,Hps6,,1.0,2.0,,4.0,other
5638,Hpse,,1.0,6.0,,,gamma
5639,Hras1,,,,,1.0,other
5640,Hrb,,,,4.0,,longtail
5641,Hrbl,1.0,,,,4.0,other
5642,Hrc,,1.0,4.0,,1.0,gamma
5643,Hrh2,,2.0,1.0,,,expo
5644,Hrsp12,,,2.0,,3.0,other
5645,Hs1bp3,,,,,1.0,other
5646,Hs2st1,,1.0,,,2.0,other
5647,Hs3st1,,,,,2.0,other
5648,Hs3st3b1,3.0,5.0,1.0,1.0,3.0,expo
5649,Hs6st1,,,3.0,2.0,,gamma
5650,Hs6st2,,,1.0,,,gamma
5651,Hsbp1,,2.0,1.0,4.0,,longtail
5652,Hscb,1.0,3.0,1.0,,2.0,expo
5653,Hsd11b1,,3.0,5.0,,1.0,gamma
5654,Hsd17b11,,3.0,2.0,1.0,,expo
5655,Hsd17b2,,,,,1.0,other
5656,Hsd17b4,,1.0,3.0,,,gamma
5657,Hsd3b2,,1.0,4.0,,1.0,gamma
5658,Hsdl1,,2.0,,,,expo
5659,Hsf1,,1.0,5.0,,1.0,gamma
5660,Hsf2,,3.0,1.0,,1.0,expo
5661,Hsf3,,,1.0,,,gamma
5662,Hsf4,,2.0,,,1.0,expo
5663,Hsh2d,,1.0,1.0,4.0,2.0,longtail
5664,Hsp90aa1,,2.0,3.0,,1.0,gamma
5665,Hsp90ab1,,,3.0,,,gamma
5666,Hspa12a,,,1.0,,,gamma
5667,Hspa12b,,1.0,,,,expo
5668,Hspa13,,2.0,,,,expo
5669,Hspa1b,,3.0,2.0,,,expo
5670,Hspa2,,5.0,,,,expo
5671,Hspa4,,2.0,,,,expo
5672,Hspa8,,2.0,4.0,,1.0,gamma
5673,Hspa9,,2.0,3.0,,2.0,gamma
5674,Hspb11,,,1.0,,,gamma
5675,Hspb6,,,1.0,,4.0,other
5676,Hspb8,,,2.0,,,gamma
5677,Hspbap1,3.0,6.0,1.0,,1.0,expo
5678,Hspbp1,,1.0,3.0,,2.0,gamma
5679,Hspd1,,,2.0,,1.0,gamma
5680,Hspe1,,,2.0,,,gamma
5681,Hsph1,,,,,1.0,other
5682,Htatip2,,1.0,3.0,1.0,,gamma
5683,Htatsf1,1.0,3.0,1.0,,2.0,expo
5684,Htf9c,,,3.0,,1.0,gamma
5685,Htr1d,,,4.0,,,gamma
5686,Htr2b,,1.0,,,,expo
5687,Htr5b,,1.0,2.0,,1.0,gamma
5688,Htr7,,1.0,,,,expo
5689,Htra1,,1.0,,,,expo
5690,Htra2,,,6.0,,4.0,gamma
5691,Htra3,,,,,2.0,other
5692,Htt,1.0,3.0,,2.0,2.0,expo
5693,Hunk,,1.0,,,,expo
5694,Huwe1,,2.0,3.0,,2.0,gamma
5695,Hvcn1,1.0,3.0,5.0,2.0,1.0,gamma
5696,Hyal1,,1.0,,,,expo
5697,Hyal2,,,,,1.0,other
5698,Hydin,2.0,1.0,,,1.0,bimodal
5699,Hyls1,,,2.0,,1.0,gamma
5700,Hyou1,,1.0,4.0,,,gamma
5701,Hypk,,,2.0,,1.0,gamma
5702,I830077J02Rik,,,1.0,,,gamma
5703,Iah1,,,3.0,,1.0,gamma
5704,Iapp,,1.0,,,,expo
5705,Iars,,1.0,3.0,,1.0,gamma
5706,Iba57,,,,1.0,,longtail
5707,Ibrdc3,,,1.0,,,gamma
5708,Ica1,1.0,5.0,1.0,,,expo
5709,Icam1,,1.0,4.0,,,gamma
5710,Icam2,,2.0,1.0,5.0,1.0,longtail
5711,Icam5,,1.0,2.0,,,gamma
5712,Ice2,,2.0,,,1.0,expo
5713,Ick,1.0,,4.0,,3.0,gamma
5714,Icmt,,2.0,1.0,,,expo
5715,Icosl,,,,,1.0,other
5716,Ict1,1.0,,,,,bimodal
5717,Id1,,,4.0,1.0,,gamma
5718,Id2,,1.0,8.0,,5.0,gamma
5719,Id4,1.0,,,,,bimodal
5720,Idh1,,1.0,1.0,,5.0,other
5721,Idh2,,3.0,1.0,,,expo
5722,Idh3a,,1.0,3.0,,1.0,gamma
5723,Idh3b,,1.0,1.0,,6.0,other
5724,Idh3g,,,,,1.0,other
5725,Idi2,,,,,3.0,other
5726,Idnk,,2.0,1.0,,1.0,expo
5727,Ido1,,1.0,,,,expo
5728,Ido2,,,,,1.0,other
5729,Ids,,,,,1.0,other
5730,Idua,,1.0,,2.0,,longtail
5731,Ier2,,2.0,1.0,,3.0,other
5732,Ier3,,7.0,2.0,1.0,2.0,expo
5733,Ier5,,1.0,6.0,,2.0,gamma
5734,Ier5l,,1.0,6.0,,1.0,gamma
5735,Iffo1,1.0,1.0,3.0,1.0,1.0,gamma
5736,Ifi202b,1.0,,3.0,,2.0,gamma
5737,Ifi204,,1.0,2.0,,1.0,gamma
5738,Ifi205,,2.0,1.0,,,expo
5739,Ifi214,,,,,1.0,other
5740,Ifi27,,,2.0,,4.0,other
5741,Ifi27l2a,,,3.0,,1.0,gamma
5742,Ifi27l2b,,,2.0,,1.0,gamma
5743,Ifi35,,1.0,2.0,1.0,5.0,other
5744,Ifi44,,3.0,4.0,,2.0,gamma
5745,Ifi47,1.0,1.0,2.0,,4.0,other
5746,Ifih1,1.0,2.0,2.0,1.0,4.0,other
5747,Ifit1,1.0,2.0,3.0,,1.0,gamma
5748,Ifit2,,2.0,1.0,3.0,1.0,longtail
5749,Ifit3,1.0,1.0,4.0,3.0,2.0,gamma
5750,Ifitm1,1.0,5.0,3.0,,3.0,expo
5751,Ifitm2,,2.0,6.0,,,gamma
5752,Ifitm5,,1.0,2.0,,1.0,gamma
5753,Ifnar1,,1.0,2.0,,,gamma
5754,Ifnar2,,5.0,6.0,1.0,4.0,gamma
5755,Ifnb1,,,1.0,,,gamma
5756,Ifng,1.0,2.0,2.0,5.0,,longtail
5757,Ifngr2,,5.0,6.0,,1.0,gamma
5758,Ifnz,,,2.0,1.0,,gamma
5759,Ifrd1,,5.0,1.0,,,expo
5760,Ifrg15,,3.0,1.0,1.0,,expo
5761,Ift122,1.0,1.0,,,2.0,other
5762,Ift140,,,,1.0,,longtail
5763,Ift172,,,1.0,,,gamma
5764,Ift22,,1.0,2.0,,,gamma
5765,Ift27,,1.0,2.0,,1.0,gamma
5766,Ift43,,2.0,1.0,,,expo
5767,Ift46,,,,,1.0,other
5768,Ift52,,,1.0,,4.0,other
5769,Ift74,,,11.0,,4.0,gamma
5770,Ift81,1.0,1.0,4.0,,3.0,gamma
5771,Ift88,2.0,,2.0,,4.0,other
5772,Igdcc4,,,1.0,,,gamma
5773,Igf2,,1.0,1.0,,3.0,other
5774,Igf2bp2,,,2.0,1.0,1.0,gamma
5775,Igf2bp3,1.0,6.0,1.0,2.0,,expo
5776,Igf2r,,5.0,2.0,,3.0,expo
5777,Igfals,,1.0,,,,expo
5778,Igfbp2,,,1.0,,,gamma
5779,Igfbp3,,1.0,,,,expo
5780,Igfbp4,,4.0,2.0,,1.0,expo
5781,Igfbp7,,1.0,4.0,,5.0,other
5782,Igfl3,,,5.0,,1.0,gamma
5783,Igh-VJ558,,,,,1.0,other
5784,Ighg,,,1.0,,,gamma
5785,Ighg1,,,1.0,,,gamma
5786,Ighm,,,2.0,1.0,,gamma
5787,Ighv14-2,,,2.0,,,gamma
5788,Igj,,,,,1.0,other
5789,Igk-V28 ,,2.0,1.0,,,expo
5790,Igk-V5,,,,,1.0,other
5791,Igkc,,,1.0,,,gamma
5792,Iglv1,,2.0,,,,expo
5793,Igsf10,,,,1.0,,longtail
5794,Igsf11,,,,,1.0,other
5795,Igsf23,,1.0,,,,expo
5796,Igsf3,,1.0,,,,expo
5797,Igsf5,,,1.0,,,gamma
5798,Igsf8,,,1.0,,4.0,other
5799,Igsf9,,1.0,4.0,,,gamma
5800,Igsf9b,,1.0,,,,expo
5801,Igtp,,2.0,3.0,,1.0,gamma
5802,Ihh,,,1.0,,,gamma
5803,Ihpk1,,,1.0,,,gamma
5804,Iigp1,,,2.0,,4.0,other
5805,Iigp2,,,3.0,,,gamma
5806,Ik,1.0,2.0,1.0,1.0,3.0,other
5807,Ikbke,,,3.0,1.0,,gamma
5808,Ikbkg,,1.0,,2.0,4.0,other
5809,Ikzf1,1.0,5.0,4.0,,1.0,expo
5810,Ikzf5,,,1.0,,2.0,other
5811,Il10ra,,4.0,2.0,,2.0,expo
5812,Il11,,,1.0,,,gamma
5813,Il11ra1,,4.0,,1.0,,expo
5814,Il12a,,3.0,1.0,,,expo
5815,Il12b,,,1.0,,,gamma
5816,Il12rb1,,4.0,3.0,,,expo
5817,Il13,,,1.0,,,gamma
5818,Il13ra2,,,,,1.0,other
5819,Il15,,1.0,3.0,,4.0,other
5820,Il15ra,,4.0,3.0,1.0,,expo
5821,Il17a,,,3.0,,,gamma
5822,Il17b,,,,,1.0,other
5823,Il17d,,,2.0,,,gamma
5824,Il17ra,,5.0,1.0,1.0,1.0,expo
5825,Il17rb,1.0,2.0,,,,expo
5826,Il17rc,,,,,3.0,other
5827,Il18bp,,,1.0,,,gamma
5828,Il18r1,,3.0,7.0,,,gamma
5829,Il18rap,,1.0,2.0,1.0,,gamma
5830,Il19,,,5.0,,,gamma
5831,Il1a,,,,2.0,,longtail
5832,Il1b,,2.0,1.0,,,expo
5833,Il1bos,,,,,1.0,other
5834,Il1f9,,,1.0,,,gamma
5835,Il1r1,,3.0,,,2.0,expo
5836,Il1rap,,2.0,2.0,1.0,5.0,other
5837,Il1rl1,,,3.0,,,gamma
5838,Il1rn,,3.0,1.0,,1.0,expo
5839,Il2,,,1.0,,2.0,other
5840,Il20rb,,,,,1.0,other
5841,Il21,1.0,3.0,1.0,1.0,,expo
5842,Il21r,,1.0,1.0,,2.0,other
5843,Il22,1.0,,2.0,,,gamma
5844,Il22ra2,,1.0,,,,expo
5845,Il23r,,1.0,3.0,,,gamma
5846,Il24,,,6.0,,1.0,gamma
5847,Il27ra,,,1.0,6.0,,longtail
5848,Il28ra,,,4.0,,1.0,gamma
5849,Il2ra,,,3.0,1.0,1.0,gamma
5850,Il2rb,,4.0,3.0,1.0,1.0,expo
5851,Il34,,,,,1.0,other
5852,Il3ra,,1.0,5.0,,,gamma
5853,Il4i1,,,3.0,,,gamma
5854,Il4ra,,2.0,3.0,,6.0,other
5855,Il5,,,3.0,,1.0,gamma
5856,Il5ra,,,,,1.0,other
5857,Il6ra,,7.0,3.0,,1.0,expo
5858,Il6st,2.0,4.0,2.0,1.0,1.0,expo
5859,Il7r,1.0,,4.0,,,gamma
5860,Il8rb,1.0,,2.0,,1.0,gamma
5861,Il9,,,2.0,,1.0,gamma
5862,Ildr1,,4.0,1.0,,,expo
5863,Ilf2,,,4.0,,,gamma
5864,Ilf3,,1.0,2.0,,,gamma
5865,Ilkap,1.0,4.0,1.0,,2.0,expo
5866,Ilrun,,1.0,2.0,,,gamma
5867,Iltifb,,,1.0,,,gamma
5868,Ilvbl,,1.0,,,2.0,other
5869,Image:619641,,,1.0,,,gamma
5870,Immp1l,,,2.0,,1.0,gamma
5871,Immp2l,,,3.0,,2.0,gamma
5872,Immt,,1.0,4.0,,2.0,gamma
5873,Imp3,,,6.0,,2.0,gamma
5874,Impa2,,2.0,4.0,,2.0,gamma
5875,Impact,,4.0,6.0,5.0,,gamma
5876,Impdh1,,,4.0,,3.0,gamma
5877,Impg2,,1.0,,,,expo
5878,Inadl,,2.0,1.0,,5.0,other
5879,Inafm1,,,1.0,,,gamma
5880,Inafm2,,2.0,1.0,,1.0,expo
5881,Incenp,,,7.0,,,gamma
5882,Indo,,1.0,3.0,,1.0,gamma
5883,Inf2,,,,1.0,,longtail
5884,Ing3,,6.0,1.0,1.0,3.0,expo
5885,Ing4,,3.0,1.0,,1.0,expo
5886,Ing5,1.0,4.0,,,3.0,expo
5887,Inha,,3.0,1.0,1.0,,expo
5888,Inhba,,2.0,1.0,,3.0,other
5889,Inhbb,,1.0,,,,expo
5890,Inka2,1.0,,,,,bimodal
5891,Inmt,,,,,1.0,other
5892,Ino80c,,,2.0,,1.0,gamma
5893,Ino80d,,,,,1.0,other
5894,Ino80e,,,3.0,,,gamma
5895,Inoc1,1.0,,1.0,,2.0,other
5896,Inpp1,,,4.0,,,gamma
5897,Inpp4b,,1.0,1.0,,2.0,other
5898,Inpp5b,,,3.0,,2.0,gamma
5899,Inpp5d,,,2.0,,3.0,other
5900,Inpp5e,,,,2.0,1.0,longtail
5901,Inpp5f,,2.0,3.0,,2.0,gamma
5902,Inpp5k,,3.0,1.0,,,expo
5903,Inppl1,1.0,5.0,4.0,,3.0,expo
5904,Insig1,,5.0,1.0,3.0,1.0,expo
5905,Insig2,,1.0,3.0,,2.0,gamma
5906,Insl5,1.0,,4.0,,,gamma
5907,Insm1,,2.0,,,,expo
5908,Insyn2a,,,2.0,,1.0,gamma
5909,Ints1,,,1.0,,,gamma
5910,Ints11,,1.0,2.0,,1.0,gamma
5911,Ints12,,1.0,,,4.0,other
5912,Ints3,1.0,1.0,,,3.0,other
5913,Ints4,,,3.0,,4.0,other
5914,Ints5,2.0,3.0,1.0,1.0,1.0,expo
5915,Ints6,,,,,3.0,other
5916,Ints6l,,1.0,,,,expo
5917,Ints7,,1.0,1.0,,3.0,other
5918,Ints9,,,3.0,,2.0,gamma
5919,Intu,,1.0,3.0,,,gamma
5920,Invs,,1.0,,,,expo
5921,Ip6k1,,,3.0,,2.0,gamma
5922,Ip6k2,,,1.0,,,gamma
5923,Ipmk,,,2.0,,1.0,gamma
5924,Ipo11,1.0,,1.0,,4.0,other
5925,Ipo13,,,,,4.0,other
5926,Ipo4,,1.0,1.0,,3.0,other
