,gene,bimodal,expo,gamma,longtail,other,winner
179,1810011H11Rik,,,1.0,,,gamma
180,1810013L24Rik,,2.0,,,,expo
181,1810014B01Rik,,,,,1.0,other
182,1810014F10Rik,,,,,4.0,other
183,1810015A11Rik,,1.0,,,,expo
184,1810020D17Rik,,,,,1.0,other
185,1810020G14Rik,1.0,,1.0,,4.0,other
186,1810021J13Rik,,,,,4.0,other
187,1810023F06Rik,,,1.0,,,gamma
188,1810027O10Rik,,3.0,1.0,,,expo
189,1810030J14Rik,,,1.0,,,gamma
190,1810030N24Rik,,2.0,3.0,,,gamma
191,1810032O08Rik,,,2.0,,1.0,gamma
192,1810033B17Rik,,,1.0,,,gamma
193,1810035L17Rik,,1.0,,,,expo
194,1810037C20Rik,,,1.0,,,gamma
195,1810037I17Rik,,3.0,4.0,,,gamma
196,1810041L15Rik,,,1.0,,,gamma
197,1810046J19Rik,,1.0,,1.0,2.0,other
198,1810048J11Rik,,,1.0,,4.0,other
199,1810049H13Rik,,,1.0,,2.0,other
200,1810054D07Rik,,,,4.0,,longtail
201,1810058I24Rik,,1.0,3.0,,,gamma
202,1810063B05Rik,,,1.0,,,gamma
203,1810064F22Rik,,,,,1.0,other
204,1810073G14Rik,,,,,2.0,other
205,1810074P20Rik,,,1.0,,,gamma
206,2010001A14Rik,,1.0,,,,expo
207,2010001J22Rik,1.0,,4.0,,3.0,gamma
208,2010001M09Rik,,1.0,2.0,,1.0,gamma
209,2010003J03Rik,,1.0,,,,expo
210,2010005H15Rik,,,,,1.0,other
211,2010005J08Rik,,3.0,1.0,,2.0,expo
212,2010007H12Rik,,,,,4.0,other
213,2010011I20Rik,1.0,,,,,bimodal
214,2010012O05Rik,,,3.0,,,gamma
215,2010013B24Rik,,,1.0,,,gamma
216,2010106G01Rik,,,1.0,,,gamma
217,2010107G12Rik,,,1.0,,,gamma
218,2010107H07Rik,,1.0,,,,expo
219,2010109I03Rik,,,,,1.0,other
220,2010109K11Rik,,,1.0,,,gamma
221,2010111I01Rik,1.0,,1.0,,3.0,other
222,2010204K13Rik,,,2.0,,,gamma
223,2010204N08Rik,,,1.0,,,gamma
224,2010300C02Rik,,1.0,,,,expo
225,2010305A19Rik,,,4.0,,,gamma
226,2010305C02Rik,,,4.0,,,gamma
227,2010316F05Rik,1.0,,,1.0,2.0,other
228,2010321M09Rik,,,3.0,,1.0,gamma
229,2200002K05Rik,,,1.0,,,gamma
230,2210009G21Rik,,,,,2.0,other
231,2210010C17Rik,,1.0,,,,expo
232,2210010L05Rik,,1.0,,,,expo
233,2210015D19Rik,1.0,,,,,bimodal
234,2210016F16Rik,,1.0,,,2.0,other
235,2210016L21Rik,,,1.0,,,gamma
236,2210021J22Rik,2.0,1.0,,,1.0,bimodal
237,2210404O07Rik,,,3.0,1.0,,gamma
238,2210406O10Rik,,1.0,,,,expo
239,2210407C18Rik,,1.0,,,,expo
240,2210408I21Rik,,,,,1.0,other
241,2210417A02Rik,,,1.0,,,gamma
242,2210417D09Rik,,3.0,,,2.0,expo
243,2210418O10Rik,,,1.0,,4.0,other
244,2300002D11Rik,,,1.0,,,gamma
245,2310001H12Rik,,,1.0,,,gamma
246,2310003C23Rik,,,,,4.0,other
247,2310003F16Rik,,,1.0,,4.0,other
248,2310003H01Rik,,1.0,,,,expo
249,2310003L22Rik,,1.0,,,4.0,other
250,2310004I24Rik,,,2.0,,3.0,other
251,2310005E10Rik,,1.0,2.0,,1.0,gamma
252,2310005N03Rik,,,,,1.0,other
253,2310007A19Rik,,,1.0,,,gamma
254,2310007B03Rik,,,,,1.0,other
255,2310007D09Rik,,4.0,,,,expo
256,2310007F21Rik,,,,,2.0,other
257,2310007H09Rik,1.0,,4.0,,,gamma
258,2310008H04Rik,1.0,1.0,2.0,,1.0,gamma
259,2310008H09Rik,,,1.0,4.0,,longtail
260,2310008M10Rik,,1.0,1.0,,2.0,other
261,2310009B15Rik,,,1.0,,4.0,other
262,2310010J17Rik,,,2.0,,,gamma
263,2310011J03Rik,,2.0,1.0,,4.0,other
264,2310015A10Rik,,,1.0,,,gamma
265,2310016C08Rik,1.0,2.0,,4.0,,longtail
266,2310016C16Rik,,,1.0,,,gamma
267,2310016M24Rik,,1.0,,,,expo
