,gene,best_fit
2969,Ftl1 _1,other
2970,Ftl1 _2,other
2974,Fubp1_1,other
2977,Fuca1_1,other
2978,Fuca1_2,other
2981,Fundc2_2,other
2984,Fus,other
2996,Fzd7_1,other
3008,Gabpa,other
3014,Galc_2,other
3018,Galm,other
3022,Galnt2_1,other
3025,Galnt4,other
3042,Gas5.1,other
3045,Gata1,other
3050,Gatad2a_1,other
3051,Gatad2a_2,other
3052,Gatad2a_3,other
3066,Gcc1_1,other
3067,Gcgr,other
3077,Gdi2,other
3080,Gdi2_3,other
3083,Gdpd5,other
3084,Gem,other
3085,Gemin2,other
3093,Gfm2,other
3095,Gfra2_2,other
3096,Gfra3,other
3109,Ghdc,other
3110,Ghitm,other
3113,Gid4_2,other
3114,Gid4_3,other
3115,Gid4_6,other
3116,Gid8,other
3118,Gigyf2,other
3129,Gipc1,other
3145,Glg1_2,other
3148,Glipr2_1,other
3150,Glo1_1,other
3151,Glo1_2,other
3154,Glrx2,other
3155,Glrx2_1,other
3158,Glrx3 _2,other
3164,Glud1,other
3167,Glyr1,other
3173,Gm10045,other
3186,Gm10094 _4,other
3187,Gm10177,other
3189,Gm10193 _4,other
3190,Gm10257,other
3195,Gm10349 _2,other
3203,Gm10651,other
3216,Gm12538,other
3220,Gm12854,other
3230,Gm13826 _1,other
3231,Gm13826 _2,other
3234,Gm14586,other
3236,Gm14680 _1,other
3242,Gm15455 _2,other
3247,Gm15501,other
3249,Gm15501 _2,other
3250,Gm15583,other
3251,Gm15772 _1,other
3256,Gm16489,other
3264,Gm1821 _1,other
3269,Gm20604,other
3270,Gm20605,other
3272,Gm20605 _2,other
3283,Gm21571,other
3284,Gm21571 _1,other
3286,Gm21596 _1,other
3287,Gm21596 _2,other
3288,Gm21596 _3,other
3289,Gm2382,other
3296,Gm3362 _2,other
3297,Gm3362 _3,other
3313,Gm4887 _2,other
3315,Gm5093,other
3317,Gm5481,other
3323,Gm5617,other
3338,Gm6682,other
3339,Gm6682 _2,other
3342,Gm6750,other
3346,Gm6793 _2,other
3348,Gm6910,other
3355,Gm8203,other
3356,Gm8203 _1,other
3357,Gm8539,other
3362,Gm9385,other
3364,Gm9706,other
3367,Gm9780,other
3370,Gm9840 _1,other
3373,Gmeb1,other
3381,Gmppa,other
3382,Gmppa_2,other
3385,Gna11,other
3388,Gna13_2,other
3389,Gnai3,other
3390,Gnai3_1,other
3391,Gnao1_2,other
3395,Gnb1_2,other
3400,Gng10,other
3402,Gng2,other
3405,Gnl2_2,other
3406,Gnpat,other
3413,Gnptab_2,other
3418,Golga4_2,other
3421,Golph3_2,other
3423,Golph3l_1,other
3427,Gopc_1,other
3434,Gp49a,other
3436,Gpaa1_1,other
3437,Gpaa1_2,other
3439,Gpam,other
3440,Gpank1,other
3447,Gpatch8_2,other
3454,Gpi1,other
3456,Gpi1_2,other
3466,Gpr27,other
3475,Gpsm1_1,other
3476,Gpsm1_2,other
3477,Gpsm2,other
3482,Gpx1,other
3488,Gramd3_1,other
3495,Grhpr,other
3499,Grk5,other
3501,Grn_1,other
3502,Grn_2,other
3505,Grsf1,other
3506,Grsf1_1,other
3507,Grsf1_2,other
3518,Gss,other
3525,Gtf2a1_1,other
3531,Gtf2h3,other
3537,Gtf3a,other
3540,Gtf3c2_1,other
3541,Gtf3c2_3,other
3542,Gtf3c5,other
3547,Gtpbp1,other
3550,Gtpbp2_1,other
3554,Gtpbp6,other
3556,Guca1b,other
3559,Guk1,other
3561,Gusb_1,other
3563,Gyk_1,other
3564,Gypc,other
3567,Gzmb,other
3569,H13_3,other
3570,H1f0,other
3575,H2-Ab1_1,other
3576,H2-Ab1_2,other
3585,H2-DMb2,other
3601,H2-T24,other
3603,H2afy,other
3604,H2afz,other
3605,H2afz_1,other
3610,Hadha,other
3612,Hars2,other
3613,Hars2_1,other
3616,Haus1,other
3621,Haus8,other
3624,Hba-a1,other
3628,Hbegf,other
3633,Hbs1l,other
3636,Hcfc1,other
3637,Hcfc1_1,other
3641,Hcls1,other
3643,Hdac1,other
3644,Hdac2,other
3646,Hdac6,other
3647,Hdac7,other
3651,Hdgfl1_1,other
3652,Hdgfrp2,other
3653,Hdgfrp2_1,other
3654,Hdgfrp2_2,other
3661,Heatr6,other
3664,Helq,other
3677,Hey1,other
3678,Hgs,other
3681,Hibadh_1,other
3683,Hic2,other
3688,Hif3a_1,other
3690,Higd1a_1,other
3691,Higd1c,other
3697,Hip1r_2,other
3700,Hipk2,other
3701,Hipk2_2,other
3707,Hira_2,other
3713,Hist1h2bp,other
3716,Hist1h4a _2,other
3722,Hivep2,other
3723,Hivep2_1,other
3725,Hk1_1,other
3731,Hmbs,other
3738,Hmgb2_1,other
3740,Hmgcl,other
3741,Hmgcr,other
3759,Hmox2,other
3774,Hnrnpdl,other
3777,Hnrnpdl_3,other
3779,Hnrnpf,other
3780,Hnrnpf_2,other
3782,Hnrnph2,other
3786,Hnrnpk_2,other
3790,Hnrnpr,other
3791,Hnrnpr_1,other
3793,Hnrnpu,other
3796,Hnrnpul2,other
3797,Hnrnpul2_1,other
3799,Hopx,other
3800,Hopx_1,other
3802,Hpcal1,other
3804,Hps1,other
3810,Hs2st1,other
3816,Hsd17b10_1,other
3820,Hsd17b7,other
3821,Hsd17b7_1,other
3822,Hsf1,other
3828,Hsp90b1,other
3829,Hsp90b1_1,other
3846,Hspb1,other
3859,Hus1,other
3860,Hus1_1,other
3861,Huwe1,other
3875,Ice2,other
3876,Ice2_1,other
3878,Icos,other
3879,Icos_1,other
3881,Id2_2,other
3882,Id3,other
3883,Ide,other
3884,Ide_1,other
3888,Idh3a,other
3889,Idh3a_1,other
3891,Idh3b,other
