,gene,best_fit
2881,Lrrc59,other
2886,Lrrfip2,other
2896,Lsp1,other
2901,Ltb4r2,other
2902,Ltbp1,other
2903,Ltbp3,other
2904,Ltbr,other
2907,Luzp1,other
2911,Ly6c2,other
2912,Ly6e,other
2923,Lypd6b,other
2955,Man2b2,other
2959,Map1a,other
2974,Map6,other
3000,Mcpt4,other
3006,Mdh2,other
3011,Med12l,other
3013,Med22,other
3014,Med27,other
3023,Metrnl,other
3024,Mettl14,other
3027,Mettl9,other
3029,Mfap3l,other
3044,Mgme1,other
3049,Micos10,other
3050,Micu2,other
3059,Mipepos,other
3060,Mir22hg,other
3064,Mis18a,other
3066,Misp3,other
3086,Mmrn1,other
3088,Mndal,other
3089,Mob1b,other
3092,Mocos,other
3100,Mphosph6,other
3114,Mre11a,other
3120,Mroh1,other
3121,Mroh7,other
3127,Mrpl20,other
3128,Mrpl35,other
3130,Mrpl40,other
3144,Ms4a4b,other
3151,Msr1,other
3167,Mtmr7,other
3175,Muc3a,other
3186,Mycbp,other
3189,Myct1,other
3193,Myh14,other
3201,Myl9,other
3207,Myo10,other
3212,Myo1f,other
3217,Myorg,other
3225,Naaa,other
3226,Nabp2,other
3233,Naip2,other
3234,Nans,other
3240,Nav1,other
3242,Nbas,other
3244,Nbea,other
3245,Nbl1,other
3246,Nbn,other
3250,Ncbp3,other
3257,Nckap1,other
3260,Nckap5l,other
3263,Ncoa4-ps,other
3266,Ndc1,other
3270,Ndrg4,other
3277,Ndufa9,other
3279,Ndufaf2,other
3281,Ndufc1,other
3283,Ndufv2,other
3301,Nexmif,other
3307,Nfe2l2,other
3316,Nfyb,other
3320,Nhs,other
3322,Nhsl2,other
3327,Nipal1,other
3336,Nkx3-2,other
3341,Nlrp1b,other
3345,Nme7,other
3348,Nmrk1,other
3351,Nod2,other
3353,Nol4l,other
3365,Npepps,other
3371,Npr1,other
3374,Nptx1,other
3375,Nptxr,other
3385,Nrgn,other
3388,Nrp1,other
3403,Ntan1,other
3408,Ntng2,other
3410,Nts,other
3411,Nub1,other
3414,Nudcd2,other
3429,Nup214,other
3432,Nup88,other
3434,Nupr1,other
3443,Oas1g,other
3444,Oas1h,other
3448,Oasl2,other
3458,Odr4,other
3473,Olfr920,other
3490,Oscp1,other
3491,Oser1,other
3496,Ostf1,other
3498,Otos,other
3501,Otud7b,other
3505,Oxct1,other
3506,Oxnad1,other
3511,P2rx5,other
3512,P2ry1,other
3516,P2ry6,other
3519,P3h3,other
3524,Pacc1,other
3526,Pacsin1,other
3536,Pak6,other
3537,Pald1,other
3554,Parp11,other
3555,Parp12,other
3557,Parp6,other
3568,Pcdh19,other
3574,Pcgf3,other
3578,Pcmtd1,other
3585,Pcsk9,other
3588,Pdcd4,other
3593,Pde11a,other
3596,Pde1c,other
3601,Pde7a,other
3621,Peg10,other
3623,Peli2,other
3628,Pex1,other
3631,Pex7,other
3634,Pfdn1,other
3645,Pgf,other
3650,Pglyrp1,other
3655,Pgrmc1,other
3662,Phf19,other
3672,Pi16,other
3680,Pigk,other
3683,Pigz,other
3684,Pih1d1,other
3707,Pkd1,other
3719,Pkp1,other
3736,Plaur,other
3741,Plcd4,other
3742,Plce1,other
3745,Plcxd1,other
3746,Pld1,other
3754,Plekhg3,other
3761,Plk2,other
3788,Pmpca,other
3796,Poc1b,other
3800,Pofut1,other
3810,Polr2d,other
3812,Polr3k,other
3816,Pon3,other
3823,Pou6f1,other
3828,Ppfia3,other
3832,Ppib,other
3834,Ppm1j,other
3838,Ppp1ca,other
3839,Ppp1r12a,other
3840,Ppp1r13b,other
3845,Ppp1r1b,other
3855,Ppp2r2c,other
3858,Ppp2r5a,other
3862,Ppp4r4,other
3868,Prdm1,other
3877,Prelid3b,other
3879,Prf1,other
3892,Prm2,other
3897,Prpf38a,other
3901,Prps2,other
3920,Prss57,other
3929,Psma2,other
3931,Psmb1,other
3932,Psmb7,other
3935,Psmd13,other
3939,Psrc1,other
