,gene,alpha,beta,rss,rmse,alpha_err,beta_err,model
3886,Mdh2,1.0000000000000002,0.4210484503320255,0.08213250250637132,0.1083199641975907,1.2258700794411288,0.5536560652926839,gamma
3887,Me2,1.0000000000000444,0.34898040948793624,0.09577249412253953,0.1547356569464029,0.5980809046467137,0.334164938910691,gamma
3888,Mecp2,5.811758820390113,1.5609463951484248,0.0008090407840208217,0.012720383516394635,5.818133562682517,1.354977555886399,gamma
3889,Med10,1.0000000000000002,0.18130651985251708,0.1533014621358654,0.17510080647208076,1.8484524009489665,0.5248903818350733,gamma
3890,Med11,3.2125015559582546,0.6405638830895924,0.12417388528487322,0.14385981908607723,3.9011807701933945,0.9706187873299169,gamma
3891,Med12,305.28556670908114,65.10528948451477,0.004769043980482645,0.034529132556736224,16766.347570880847,89108.75484498515,gamma
3892,Med18,244.32521884138902,52.69341363376085,0.9287795391794625,0.481866044451013,29207692030.801254,5526006338.557879,gamma
3893,Med19,68.70923313530783,17.40720084928671,0.006554975941426026,0.04048140295687029,58945.49097367598,17117.28907286957,gamma
3894,Med21,6.773133663040036,1.7840127340848733,0.4575671911697825,0.2556692034557217,18.233559834397333,5.427618437334295,gamma
3895,Med24,57.88619034568655,15.454151492692972,0.07123228651936049,0.13344688692449938,29448.057123232687,8792.006749354136,gamma
3896,Med25,1.0000000000000002,0.7653496129029528,0.09941367729684943,0.15764967276912553,2.4986239500257046,2.349238839810015,gamma
3897,Med27,18.34203430796415,4.781549335718872,0.26582016918479645,0.23057327216518245,83.8773600456002,24.812438177635062,gamma
3898,Med28,273.1182295998642,59.43331698990164,0.0027994357787684294,0.026454847281587306,77647051644.33827,14752330735.81388,gamma
3899,Med4,39.58207475680994,11.978841609043123,0.0012093721490473188,0.017388014183966773,62426.00310147695,19903.18764978896,gamma
3900,Med8,1.5555403675165846,0.4262558106699724,0.08767600889619329,0.1480506745139931,2.4117064077183468,0.8033780374436891,gamma
3901,Med9,58.076491593868774,15.8725617347426,0.0011179235755499695,0.01671768207280819,100224.83372651064,30287.930114438084,gamma
3902,Mef2b,1.0000000000000375,0.4003476416038635,0.13242911863765683,0.18195405920015692,3.013911219027265,1.497872892224796,gamma
3903,Mefv,52.78600013210154,7.321914655229881,0.02899035806840452,0.07614506952968723,23044905.407514647,3510040.6945576393,gamma
3904,Meg3,2.700809540771107,0.33070867314508845,0.15040535725415743,0.1583273808990712,2.617683206032435,0.31715779153298335,gamma
3905,Megf10,1.0000000000000002,0.26674059569743286,0.09125987387475384,0.13509986963335963,0.6699598679463233,0.22480897335995523,gamma
3906,Megf8,1.2128461520540117,0.36291994458289606,0.03921749644258135,0.09901703949646919,1.752693240684547,0.7594088490509965,gamma
3907,Megf9,43.29399468435181,11.902395304149598,0.2358928540831719,0.24284401067515124,16702.41277893879,5067.808568240795,gamma
3908,Meis1,10.16462211114317,2.0912548569309153,0.013696555757677422,0.05233842901287241,6.085720505066121,1.2081139455057839,gamma
3909,Meis2,12.333727634351593,2.285371567442021,0.009077739923203716,0.038896743486663325,12.293949262768807,2.264607246900669,gamma
3910,Melk,289.96961788376535,61.749586713842305,0.007366565747682541,0.04291435001162939,38919063552.000015,7318003640.087318,gamma
3911,Men1,4.979662028874538,1.0212278694751533,0.2539640434743309,0.19047461153442505,9.170054128993696,2.0143338481237287,gamma
3912,Meox2,1.0000000000001283,0.3664065658712466,0.1408453998861045,0.15321303245595902,1.6292042926175263,0.7312437099108959,gamma
3913,Mep1a,103.20516175639551,18.391507219158306,0.00034414088203729086,0.008296274851248491,100764601.87300572,17390444.51891778,gamma
3914,Mep1b,34.15922119029074,10.210245312394866,0.12991234769290036,0.18021677758528779,17169.665281396716,5443.381602823557,gamma
3915,Mertk,126.09531504197693,24.41548187227132,0.4277126852306172,0.2924765581138486,217905035.42136177,39159930.096635655,gamma
3916,Mesdc1,1.0000000000000124,0.15169239014768793,0.2997626434673104,0.27375291937589924,1.8982126716177767,0.5982161619332043,gamma
3917,Mest,61.76109385135987,9.374898307266758,1.465551879433426,0.494225299405279,32430195.303601824,5170272.397245819,gamma
3918,Metap2,1.929197888228872,0.5010857597639258,0.011469425081047604,0.04789451968868172,3.1338692196360496,0.9539658510183427,gamma
3919,Metapl1,79.5439119904399,13.454722480551979,0.3083407617295485,0.20987777454289522,27691400.284125734,4659179.042418593,gamma
3920,Metrnl,9.664951384086267,1.887147765733102,0.001469510981188001,0.01714357594662211,29.935563051171652,5.562587458426663,gamma
3921,Mett11d1,1.0000000000076203,0.8869002017063813,0.267064679787923,0.21097578051675464,7.205032198766657,7.9072741522415395,gamma
3922,Mettl1,227.78703111236456,49.530031555738574,0.06636947688329611,0.1288113706969382,1960486030.2926033,372391624.17755115,gamma
3923,Mettl7a2,1.0000000000000102,0.5907848842936126,0.5854225073521032,0.38256453944142,0.684862563019235,0.5634804134226981,gamma
3924,Mettl7b,73.23670425054678,11.772982512188907,0.36929416993984665,0.2717698180224753,125982240.46191013,20666998.29351771,gamma
3925,Mettl8,113.93694181577901,21.63195579031253,0.11204972969168137,0.1496995188313452,28861076.967917986,5137839.768211703,gamma
3926,Mettl9,5.284546046640701,0.4906105225999952,0.21923723697206188,0.1911531833251637,13.581701743007246,1.1910334804235423,gamma
3927,Mfap1b,220.98998939927174,47.441004932856664,0.38462964249273346,0.3100925839538627,5214689706.537072,984493590.7510194,gamma
3928,Mfap3l,89.07915806528266,15.78236990688385,0.23043988493085377,0.195976140099951,34374112.23591295,5916964.804537735,gamma
3929,Mfap5,1.0000000000004303,0.47303290766319667,0.08031321734907247,0.14169793342624343,1.123445732652268,0.5937435996535696,gamma
3930,Mff,83.826235541424,21.71286855617951,0.005945018406381631,0.03855197273286294,80067.93134835389,23511.31220483315,gamma
3931,Mfge8,58.02481439333827,4.211015828161321,0.51775199592019,0.29375499880007433,13962.12116889409,1008.1308653397616,gamma
3932,Mfn2,13.345740144114325,2.6075746119677703,0.06532615343337053,0.10434410495516787,38.934036895675355,7.334406815964381,gamma
3933,Mfng,60.55644130197211,4.514734868227691,0.2591743017409681,0.20783579325233664,44281.99610185186,3240.122025452335,gamma
3934,Mfsd10,105.63778366648484,19.356927293918226,0.847723663566694,0.41175809975438105,104476408.8697123,18279898.471834898,gamma
3935,Mfsd11,144.12293229021444,28.286080156248293,0.08496889282374026,0.13036018780574096,765924946.1595596,138531662.2188173,gamma
3936,Mfsd2,31.107533642000785,5.965528607664922,0.0057793655855476155,0.03399813402393612,62.77963332056744,11.331975364299286,gamma
3937,Mfsd7a,1.0000000000000002,0.10674683288232979,0.2964588119537226,0.22228315723933537,0.7639800504960176,0.15517815821452155,gamma
