,gene,best_fit
855,B3galnt2.3,other
860,B4galt3,other
861,B4galt3.1,other
867,BC002199,other
868,BC003266,other
872,BC011248.1,other
894,BC038286,other
899,BC049806.2,other
901,BC051142,other
906,BC057079,other
907,BC057371.2,other
908,BC061237,other
910,BC065397.1,other
917,Bach2,other
918,Bag3,other
928,Bbs2,other
931,Bccip,other
933,Bccip.3,other
936,Bcl2,other
937,Bcl2.1,other
941,Bcl2l11.2,other
942,Bcl2l13,other
947,Bcl3,other
953,Bcor,other
954,Bcorl1,other
955,Bcr,other
956,Bcr.2,other
958,Bex2,other
959,Bex2.1,other
963,Bicc1,other
968,Blcap,other
974,Bmi1,other
983,Boll,other
985,Bpnt1.2,other
986,Bptf.1,other
987,Brap,other
992,Brd2.1,other
995,Bre,other
1000,Brp16.1,other
1001,Brp44,other
1002,Brpf1,other
1006,Bsdc1,other
1008,Bst2,other
1009,Btbd11.1,other
1014,Btg2,other
1016,Btk,other
1017,Btla,other
1028,Bzw2.1,other
1030,C030039L03Rik,other
1031,C030045D06Rik.2,other
1032,C030046I01Rik.1,other
1035,C130022K22Rik,other
1036,C1galt1,other
1038,C1qtnf3,other
1039,C1qtnf4,other
1046,C230071H18Rik,other
1048,C230096C10Rik.1,other
1051,C330027C09Rik.1,other
1055,C630028N24Rik,other
1057,C76566.2,other
1058,C76566.5,other
1059,C78339,other
1066,C8g,other
1070,Cacnb3,other
1073,Cacnb4,other
1074,Calm2,other
1077,Calu,other
1078,Calu.2,other
1080,Camk2b,other
1081,Camk2g,other
1084,Camkk1,other
1085,Camkk2,other
1086,Camkk2.1,other
1090,Capn1,other
1094,Car11,other
1107,Casp4,other
1113,Cbfb.2,other
1115,Cbx3,other
1117,Cbx6,other
1120,Ccdc109a,other
1121,Ccdc109a.1,other
1123,Ccdc111.1,other
1124,Ccdc117.1,other
1125,Ccdc120,other
1129,Ccdc124.1,other
1130,Ccdc132,other
1131,Ccdc134,other
1138,Ccdc28b,other
1142,Ccdc47,other
1143,Ccdc49,other
1148,Ccdc66,other
1149,Ccdc93.1,other
1151,Ccdc98,other
1153,Cchcr1,other
1155,Ccl24,other
1163,Ccnc.1,other
1170,Ccng1.1,other
1171,Ccng1.2,other
1181,Ccr5.2,other
1184,Ccrk.2,other
1185,Ccrk.3,other
1187,Cct3.1,other
1189,Cd14,other
1194,Cd248,other
1200,Cd44.6,other
1203,Cd6.1,other
1212,Cd80,other
1216,Cd86.1,other
1227,Cdc25b,other
1232,Cdc2l1,other
1233,Cdc2l1.1,other
1236,Cdc42bpb,other
1238,Cdc42ep4,other
1252,Cdk10.2,other
1253,Cdk2,other
1254,Cdk2.1,other
1255,Cdk2.2,other
1256,Cdk5rap1,other
1259,Cdkl2.1,other
1260,Cdkl3,other
1266,Cdkn2b,other
1268,Cdo1,other
1269,Cdr2,other
1272,Cdyl2,other
1275,Cebpg,other
1277,Cenpa,other
1289,Cenpo,other
1295,Centb2.2,other
1296,Centg2,other
1297,Cep152,other
1298,Cep170,other
1311,Cgrrf1,other
1315,Chchd2,other
1317,Chchd8,other
1318,Chd1,other
1319,Chd1.1,other
1320,Chd4,other
1322,Chd9.1,other
1328,Chi3l4,other
1329,Chka,other
1332,Chmp2a.1,other
1337,Chn2,other
1341,Chst1,other
1342,Chst10,other
1349,Ciao1,other
1354,Cisd1,other
1358,Ciz1,other
1359,Ciz1.1,other
1362,Ckb,other
1365,Clasp1,other
1367,Clcf1.1,other
1368,Clcf1.2,other
1369,Clcn2,other
1387,Clm3.2,other
1388,Cln6,other
1389,Cln6.1,other
1390,Clns1a.1,other
1395,Clptm1,other
1396,Clptm1l,other
1402,Cltb,other
1405,Cmtm6,other
1410,Cnksr1,other
1415,Cnot2.2,other
1416,Cnot2.3,other
1418,Cnot4,other
1420,Cnot4.2,other
1423,Cnrip1,other
1426,Cntnap2.4,other
1427,Cobll1,other
1428,Cobll1.1,other
1430,Cog8,other
